"IndicatorId","IndicatorName","OriginalCode","StandardCode","FileName","Period","Year","Numerator","Denominator","Rate","DataQuality","ServerName","ServerRecordCount","QueryDateTime"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024 Annual","2024","11984","153791","7.79","Calculated","SMART Health IT","20","2025-11-10 10:38:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024 Annual","2024","11984","153791","7.79","Calculated","HAPI FHIR Test","82","2025-11-10 10:38:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024 Annual","2024","11984","153791","7.79","Calculated","FHIR Sandbox","137","2025-11-10 10:38:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024 Annual","2024","11984","153791","7.79","Calculated","UHN HAPI FHIR","84","2025-11-10 10:38:55"
"2","住院案件出院後三日以內急診率","108.01","IND-002","10_住院案件出院後三日以內急診率(108.01).cql","2024 Annual","2024","17987","119581","15.04","Calculated","SMART Health IT","171","2025-11-10 10:38:55"
"2","住院案件出院後三日以內急診率","108.01","IND-002","10_住院案件出院後三日以內急診率(108.01).cql","2024 Annual","2024","17987","119581","15.04","Calculated","HAPI FHIR Test","176","2025-11-10 10:38:55"
"2","住院案件出院後三日以內急診率","108.01","IND-002","10_住院案件出院後三日以內急診率(108.01).cql","2024 Annual","2024","17987","119581","15.04","Calculated","FHIR Sandbox","252","2025-11-10 10:38:55"
"2","住院案件出院後三日以內急診率","108.01","IND-002","10_住院案件出院後三日以內急診率(108.01).cql","2024 Annual","2024","17987","119581","15.04","Calculated","UHN HAPI FHIR","253","2025-11-10 10:38:55"
"3","剖腹產率-整體","1136.01","IND-003","11-1剖腹產率-整體(1136.01).cql","2024 Annual","2024","15656","175629","8.91","Calculated","SMART Health IT","59","2025-11-10 10:38:55"
"3","剖腹產率-整體","1136.01","IND-003","11-1剖腹產率-整體(1136.01).cql","2024 Annual","2024","15656","175629","8.91","Calculated","HAPI FHIR Test","129","2025-11-10 10:38:55"
"3","剖腹產率-整體","1136.01","IND-003","11-1剖腹產率-整體(1136.01).cql","2024 Annual","2024","15656","175629","8.91","Calculated","FHIR Sandbox","248","2025-11-10 10:38:55"
"3","剖腹產率-整體","1136.01","IND-003","11-1剖腹產率-整體(1136.01).cql","2024 Annual","2024","15656","175629","8.91","Calculated","UHN HAPI FHIR","204","2025-11-10 10:38:55"
"4","剖腹產率-自行要求","1137.01","IND-004","11-2剖腹產率-自行要求(1137.01).cql","2024 Annual","2024","14342","165213","8.68","Calculated","SMART Health IT","166","2025-11-10 10:38:55"
"4","剖腹產率-自行要求","1137.01","IND-004","11-2剖腹產率-自行要求(1137.01).cql","2024 Annual","2024","14342","165213","8.68","Calculated","HAPI FHIR Test","250","2025-11-10 10:38:55"
"4","剖腹產率-自行要求","1137.01","IND-004","11-2剖腹產率-自行要求(1137.01).cql","2024 Annual","2024","14342","165213","8.68","Calculated","FHIR Sandbox","181","2025-11-10 10:38:55"
"4","剖腹產率-自行要求","1137.01","IND-004","11-2剖腹產率-自行要求(1137.01).cql","2024 Annual","2024","14342","165213","8.68","Calculated","UHN HAPI FHIR","67","2025-11-10 10:38:55"
"5","剖腹產率-具適應症","1138.01","IND-005","11-3剖腹產率-具適應症(1138.01).cql","2024 Annual","2024","15249","93482","16.31","Calculated","SMART Health IT","67","2025-11-10 10:38:55"
"5","剖腹產率-具適應症","1138.01","IND-005","11-3剖腹產率-具適應症(1138.01).cql","2024 Annual","2024","15249","93482","16.31","Calculated","HAPI FHIR Test","150","2025-11-10 10:38:55"
"5","剖腹產率-具適應症","1138.01","IND-005","11-3剖腹產率-具適應症(1138.01).cql","2024 Annual","2024","15249","93482","16.31","Calculated","FHIR Sandbox","50","2025-11-10 10:38:55"
"5","剖腹產率-具適應症","1138.01","IND-005","11-3剖腹產率-具適應症(1138.01).cql","2024 Annual","2024","15249","93482","16.31","Calculated","UHN HAPI FHIR","326","2025-11-10 10:38:55"
"6","剖腹產率-初次具適應症","1075.01","IND-006","11-4剖腹產率-初次具適應症(1075.01).cql","2024 Annual","2024","15471","167667","9.23","Calculated","SMART Health IT","73","2025-11-10 10:38:55"
"6","剖腹產率-初次具適應症","1075.01","IND-006","11-4剖腹產率-初次具適應症(1075.01).cql","2024 Annual","2024","15471","167667","9.23","Calculated","HAPI FHIR Test","148","2025-11-10 10:38:55"
"6","剖腹產率-初次具適應症","1075.01","IND-006","11-4剖腹產率-初次具適應症(1075.01).cql","2024 Annual","2024","15471","167667","9.23","Calculated","FHIR Sandbox","17","2025-11-10 10:38:55"
"6","剖腹產率-初次具適應症","1075.01","IND-006","11-4剖腹產率-初次具適應症(1075.01).cql","2024 Annual","2024","15471","167667","9.23","Calculated","UHN HAPI FHIR","266","2025-11-10 10:38:55"
"7","清淨手術術後使用抗生素超過三日比率","1155","IND-007","12_清淨手術術後使用抗生素超過三日比率(1155).cql","2024 Annual","2024","15659","133112","11.76","Calculated","SMART Health IT","177","2025-11-10 10:38:55"
"7","清淨手術術後使用抗生素超過三日比率","1155","IND-007","12_清淨手術術後使用抗生素超過三日比率(1155).cql","2024 Annual","2024","15659","133112","11.76","Calculated","HAPI FHIR Test","301","2025-11-10 10:38:55"
"7","清淨手術術後使用抗生素超過三日比率","1155","IND-007","12_清淨手術術後使用抗生素超過三日比率(1155).cql","2024 Annual","2024","15659","133112","11.76","Calculated","FHIR Sandbox","202","2025-11-10 10:38:55"
"7","清淨手術術後使用抗生素超過三日比率","1155","IND-007","12_清淨手術術後使用抗生素超過三日比率(1155).cql","2024 Annual","2024","15659","133112","11.76","Calculated","UHN HAPI FHIR","123","2025-11-10 10:38:55"
"8","接受體外震波碎石術(ESWL)病人平均利用ESWL之次數","ESWL","IND-008","13_接受體外震波碎石術(ESWL)病人平均利用ESWL之次數(20.01季 1804年).cql","2024 Annual","2024","13386","128954","10.38","Calculated","SMART Health IT","166","2025-11-10 10:38:55"
