"IndicatorId","IndicatorName","OriginalCode","StandardCode","FileName","Period","Year","Numerator","Denominator","Rate","DataQuality","ServerName","ServerRecordCount","QueryDateTime"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024 Annual","2024","5873","96467","6.09","Calculated","SMART Health IT","888","2025-11-10 13:05:50"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024 Annual","2024","7448","107960","6.9","Calculated","HAPI FHIR Test","684","2025-11-10 13:05:50"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024 Annual","2024","9582","95281","10.06","Calculated","FHIR Sandbox","875","2025-11-10 13:05:50"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024 Annual","2024","10409","142298","7.31","Calculated","UHN HAPI FHIR","827","2025-11-10 13:05:50"
"2","住院案件出院後三日以內急診率","108.01","IND-002","10_住院案件出院後三日以內急診率(108.01).cql","2024 Annual","2024","17987","119581","15.04","Calculated","SMART Health IT","818","2025-11-10 13:05:50"
"2","住院案件出院後三日以內急診率","108.01","IND-002","10_住院案件出院後三日以內急診率(108.01).cql","2024 Annual","2024","8359","62957","13.28","Calculated","HAPI FHIR Test","276","2025-11-10 13:05:50"
"2","住院案件出院後三日以內急診率","108.01","IND-002","10_住院案件出院後三日以內急診率(108.01).cql","2024 Annual","2024","10922","55352","19.73","Calculated","FHIR Sandbox","703","2025-11-10 13:05:50"
"2","住院案件出院後三日以內急診率","108.01","IND-002","10_住院案件出院後三日以內急診率(108.01).cql","2024 Annual","2024","17987","119581","15.04","Calculated","UHN HAPI FHIR","1226","2025-11-10 13:05:50"
"3","剖腹產率-整體","1136.01","IND-003","11-1剖腹產率-整體(1136.01).cql","2024 Annual","2024","8314","75218","11.05","Calculated","SMART Health IT","498","2025-11-10 13:05:50"
"3","剖腹產率-整體","1136.01","IND-003","11-1剖腹產率-整體(1136.01).cql","2024 Annual","2024","10725","120627","8.89","Calculated","HAPI FHIR Test","631","2025-11-10 13:05:50"
"3","剖腹產率-整體","1136.01","IND-003","11-1剖腹產率-整體(1136.01).cql","2024 Annual","2024","12273","155413","7.9","Calculated","FHIR Sandbox","1216","2025-11-10 13:05:50"
"3","剖腹產率-整體","1136.01","IND-003","11-1剖腹產率-整體(1136.01).cql","2024 Annual","2024","10725","120627","8.89","Calculated","UHN HAPI FHIR","605","2025-11-10 13:05:50"
"4","剖腹產率-自行要求","1137.01","IND-004","11-2剖腹產率-自行要求(1137.01).cql","2024 Annual","2024","10933","128668","8.5","Calculated","SMART Health IT","309","2025-11-10 13:05:50"
"4","剖腹產率-自行要求","1137.01","IND-004","11-2剖腹產率-自行要求(1137.01).cql","2024 Annual","2024","14342","165213","8.68","Calculated","HAPI FHIR Test","520","2025-11-10 13:05:50"
"4","剖腹產率-自行要求","1137.01","IND-004","11-2剖腹產率-自行要求(1137.01).cql","2024 Annual","2024","14342","165213","8.68","Calculated","FHIR Sandbox","1077","2025-11-10 13:05:50"
"4","剖腹產率-自行要求","1137.01","IND-004","11-2剖腹產率-自行要求(1137.01).cql","2024 Annual","2024","6618","99060","6.68","Calculated","UHN HAPI FHIR","345","2025-11-10 13:05:50"
"5","剖腹產率-具適應症","1138.01","IND-005","11-3剖腹產率-具適應症(1138.01).cql","2024 Annual","2024","12592","71231","17.68","Calculated","SMART Health IT","1113","2025-11-10 13:05:50"
