"Period","Metric","Value"
"113Q1","14-Day Readmission Patient Count","3"
"113Q1","Discharge Patient Count","53"
"113Q1","14-Day Readmission Rate","5.66%"
"113Q2","14-Day Readmission Patient Count","3"
"113Q2","Discharge Patient Count","44"
"113Q2","14-Day Readmission Rate","6.82%"
"113Q3","14-Day Readmission Patient Count","0"
"113Q3","Discharge Patient Count","26"
"113Q3","14-Day Readmission Rate","0%"
"113Q4","14-Day Readmission Patient Count","2"
"113Q4","Discharge Patient Count","39"
"113Q4","14-Day Readmission Rate","5.13%"
"113Year","14-Day Readmission Patient Count","8"
"113Year","Discharge Patient Count","161"
"113Year","14-Day Readmission Rate","4.97%"
