"Year","Quarter","Metric","Value"
"112年","","剖腹產案件數","110"
"112年","","生產案件數","300"
"112年","","剖腹產率","36.67%"
"113年","第1季","剖腹產案件數","33"
"113年","第1季","生產案件數","77"
"113年","第1季","剖腹產率","42.86%"
"113年","第2季","剖腹產案件數","23"
"113年","第2季","生產案件數","72"
"113年","第2季","剖腹產率","31.94%"
"113年","第3季","剖腹產案件數","17"
"113年","第3季","生產案件數","78"
"113年","第3季","剖腹產率","21.79%"
"113年","第4季","剖腹產案件數","35"
"113年","第4季","生產案件數","73"
"113年","第4季","剖腹產率","47.95%"
"113年","","剖腹產案件數","108"
"113年","","生產案件數","300"
"113年","","剖腹產率","36%"
