"IndicatorId","IndicatorName","OriginalCode","StandardCode","FileName","Quarter","Year","Numerator","Denominator","Rate","DataQuality","ServerName","ServerRecordCount","QueryDateTime"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q1","2024","1575","11493","58","Good","SMART Health IT","9","2025-11-10 10:38:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q1","2024","1575","11493","58","Good","HAPI FHIR Test","0","2025-11-10 10:38:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q1","2024","1575","11493","58","Good","FHIR Sandbox","4","2025-11-10 10:38:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q1","2024","1575","11493","58","Good","UHN HAPI FHIR","0","2025-11-10 10:38:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q2","2024","4536","45831","41","Good","SMART Health IT","11","2025-11-10 10:38:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q2","2024","4536","45831","41","Good","HAPI FHIR Test","2","2025-11-10 10:38:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q2","2024","4536","45831","41","Good","FHIR Sandbox","0","2025-11-10 10:38:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q2","2024","4536","45831","41","Good","UHN HAPI FHIR","72","2025-11-10 10:38:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q3","2024","3471","37957","52","Good","SMART Health IT","0","2025-11-10 10:38:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q3","2024","3471","37957","52","Good","HAPI FHIR Test","60","2025-11-10 10:38:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q3","2024","3471","37957","52","Good","FHIR Sandbox","86","2025-11-10 10:38:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q3","2024","3471","37957","52","Good","UHN HAPI FHIR","0","2025-11-10 10:38:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q4","2024","2402","58510","55","Good","SMART Health IT","0","2025-11-10 10:38:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q4","2024","2402","58510","55","Good","HAPI FHIR Test","20","2025-11-10 10:38:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q4","2024","2402","58510","55","Good","FHIR Sandbox","47","2025-11-10 10:38:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q4","2024","2402","58510","55","Good","UHN HAPI FHIR","12","2025-11-10 10:38:55"
