"IndicatorId","IndicatorName","OriginalCode","StandardCode","FileName","Quarter","Year","Numerator","Denominator","Rate","DataQuality","ServerName","ServerRecordCount","QueryDateTime"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q1","2024","1030","1560","66","Good","SMART Health IT","195","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q1","2024","551","1060","52","Good","HAPI FHIR Test","212","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q1","2024","1389","2436","57","Good","FHIR Sandbox","203","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q1","2024","1602","2716","59","Good","UHN HAPI FHIR","194","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q2","2024","592","1518","39","Good","SMART Health IT","253","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q2","2024","2408","5472","44","Good","HAPI FHIR Test","304","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q2","2024","1379","3536","39","Good","FHIR Sandbox","208","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q2","2024","0","0","0","No Cases","UHN HAPI FHIR","0","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q3","2024","2602","4410","59","Good","SMART Health IT","490","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q3","2024","4010","6574","61","Good","HAPI FHIR Test","346","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q3","2024","1106","2457","45","Good","FHIR Sandbox","351","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q3","2024","3382","7353","46","Good","UHN HAPI FHIR","387","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q4","2024","2995","6240","48","Good","SMART Health IT","390","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q4","2024","295","655","45","Good","HAPI FHIR Test","131","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q4","2024","2465","3913","63","Good","FHIR Sandbox","301","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q4","2024","0","0","0","No Cases","UHN HAPI FHIR","0","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2025Q1","2025","139","462","30","Good","SMART Health IT","33","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2025Q1","2025","0","0","0","No Cases","HAPI FHIR Test","0","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2025Q1","2025","211","660","32","Good","FHIR Sandbox","60","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2025Q1","2025","0","0","0","No Cases","UHN HAPI FHIR","0","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2025Q2","2025","2122","4716","45","Good","SMART Health IT","393","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2025Q2","2025","0","0","0","No Cases","HAPI FHIR Test","0","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2025Q2","2025","3068","5382","57","Good","FHIR Sandbox","414","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2025Q2","2025","0","0","0","No Cases","UHN HAPI FHIR","0","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2025Q3","2025","1987","3367","59","Good","SMART Health IT","481","2025-11-10 13:37:17"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2025Q3","2025","627","1280","49","Good","HAPI FHIR Test","128","2025-11-10 13:37:17"
