"IndicatorId","IndicatorName","OriginalCode","StandardCode","FileName","Quarter","Year","Numerator","Denominator","Rate","DataQuality","ServerName","ServerRecordCount","QueryDateTime"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q1","2024","0","0","0","Data Quality Issue: Inflated Numbers","SMART Health IT","151","2025-11-10 13:19:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q1","2024","0","0","0","No Cases","HAPI FHIR Test","0","2025-11-10 13:19:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q1","2024","0","0","0","Data Quality Issue: Inflated Numbers","FHIR Sandbox","120","2025-11-10 13:19:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q1","2024","0","0","0","Data Quality Issue: Inflated Numbers","UHN HAPI FHIR","40","2025-11-10 13:19:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q2","2024","0","0","0","Data Quality Issue: Inflated Numbers","SMART Health IT","382","2025-11-10 13:19:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q2","2024","0","0","0","No Cases","HAPI FHIR Test","0","2025-11-10 13:19:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q2","2024","0","0","0","Data Quality Issue: Inflated Numbers","FHIR Sandbox","247","2025-11-10 13:19:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q2","2024","0","0","0","Data Quality Issue: Inflated Numbers","UHN HAPI FHIR","34","2025-11-10 13:19:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q3","2024","0","0","0","No Cases","SMART Health IT","0","2025-11-10 13:19:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q3","2024","0","0","0","Data Quality Issue: Inflated Numbers","HAPI FHIR Test","385","2025-11-10 13:19:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q3","2024","0","0","0","Data Quality Issue: Inflated Numbers","FHIR Sandbox","182","2025-11-10 13:19:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q3","2024","0","0","0","Data Quality Issue: Inflated Numbers","UHN HAPI FHIR","418","2025-11-10 13:19:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q4","2024","0","0","0","No Cases","SMART Health IT","0","2025-11-10 13:19:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q4","2024","0","0","0","Data Quality Issue: Inflated Numbers","HAPI FHIR Test","102","2025-11-10 13:19:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q4","2024","0","0","0","Data Quality Issue: Inflated Numbers","FHIR Sandbox","442","2025-11-10 13:19:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2024Q4","2024","0","0","0","Data Quality Issue: Inflated Numbers","UHN HAPI FHIR","399","2025-11-10 13:19:55"
"1","門診注射劑使用率","3127","IND-001","1_門診注射劑使用率(3127).cql","2025Q1","2025","0","0","0","No Cases","SMART Health IT","0","2025-11-10 13:19:55"
